Id,Title,Author,Year,Pages,Genre,Finished,Rating
573920,"The Clockwork Empire","Eleanor Finch",1897,412,Steampunk,yes,4.3
284613,"Beyond the Frozen Shore","Ivan Petrov",1975,326,Adventure,no,3.8
961740,"Learning the Modern Web","Caleb Nguyen",2021,584,Software,yes,4.7
415297,"Whispers of the Abbey","Margaret Holloway",1824,298,Mystery,yes,4.1
720854,"Stars Between Worlds","Amara Keita",2134,654,Sci-Fi,no,3.5
638291,"The Velvet Garden","Lucia Fernández",1993,377,Romance,yes,4.0
802463,"Chronicles of the Silver Blade","Tobias Lang",2008,719,Fantasy,yes,4.6
175984,"Voices of Revolution","Jean-Claude Morin",1789,512,History,no,3.9
549678,"The Data Whisperer","Priya Deshmukh",2018,341,Biography,yes,4.4
387156,"Shadows in the Rain","Dmitri Orlov",1962,289,Thriller,n,3.7
